name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.00894397587433,Bus 03,353.104378780277
Load 04,500.0,184.0,532.7813810560575,Bus 04,346.29662545508205
Load 07,233.8000030517578,84.0,248.43196538892084,Bus 07,343.7603428992797
Load 08,522.0,176.0,550.8720359575352,Bus 08,342.98302042810144
Load 12,7.5,88.0,88.31902399823042,Bus 12,138.78899524470526
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.82288394379702,Bus 18,353.6599003418676
Load 20,628.0,103.0,636.390603324719,Bus 20,226.31168268401387
Load 21,274.0,115.0,297.1548417912789,Bus 21,348.59906424104474
Load 23,247.5,84.5999984741211,261.559572070726,Bus 23,346.9802165587284
Load 24,308.6000061035156,-92.19999694824219,322.0788773023554,Bus 24,354.3823187998966
Load 25,224.0,47.20000076293945,228.91885040778422,Bus 25,354.49035677467435
Load 26,139.0,17.0,140.0357097314824,Bus 26,367.4809398271574
Load 27,281.0,75.5,290.9660633132324,Bus 27,359.6203470832165
Load 28,206.0,27.600000381469727,207.8407082865556,Bus 28,377.02930748821257
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,379.5313220025119
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.9522958146251,Bus 39,345.0000000504914
