Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.017161089152439635+0.21289125981243207j),(9.885438939568701e-05+0.0008145891942141498j),(-0.01105208846822857+0.011814017900812164j),(0.010062896198204012+0.07557195778606417j),(0.01064079450512236+0.03209794467908527j),(0.0055412564762823075+0.04011450739927944j),(8.36602730410163e-05+0.0008283359081545054j),(-0.0037685868928524413+0.006688769167003351j),(-0.010570193016275852+0.012414384511654244j),(3.356759253404398e-05+5.532984876643144e-06j),(0.005979186184313932+0.0010229452821994035j)
Bus 2,(9.885438939568711e-05+0.00081458919421415j),(0.009772063116045358+0.1988082308390722j),(-0.011531718135250855+0.011320926145674579j),(7.26407990973667e-05+0.0008413381029506622j),(0.008930829953897315+0.03300913734046428j),(-0.004174035215171654+0.006544549127010015j),(0.005857092915799337+0.07687041945072218j),(0.003955271932911163+0.04024022461847933j),(-0.011076287833695053+0.011940557219692187j),(0.003094774767778294+0.000588679130196899j),(6.563430287585169e-05+1.438074637056794e-05j)
Bus 3,(-0.011052088468228569+0.01181401790081216j),(-0.011531718135250852+0.011320926145674579j),(-1.339746154893421+1.0489244231958659j),(-0.011788261924129772+0.01175696238103713j),(-0.008335333754575121+0.011861565755664485j),(-0.5288644045085068+0.5611339115391479j),(-0.011928721769770226+0.011248700432213172j),(-0.5147586613191282+0.5609912904711111j),(-1.2993803080064033+1.0312150337569144j),(0.0003165242564850036+0.0005905066556928196j),(0.0006143581761530425+0.0011736253391864614j)
Bus 4,(0.01006289619820401+0.07557195778606415j),(7.264079909736666e-05+0.000841338102950662j),(-0.011788261924129769+0.011756962381037132j),(0.007656409517597124+0.07808532315250279j),(0.009800208709940722+0.03339236747824383j),(0.004269559598363732+0.04145575119902273j),(5.652352930417529e-05+0.0008549352439347377j),(-0.004114426788828784+0.006745167277579599j),(-0.011314023784068185+0.012391621618067943j),(3.4327481014657364e-05+6.887099005689748e-06j),(0.00611320782868203+0.0012652112441965786j)
Bus 5,(0.010640794505122357+0.03209794467908527j),(0.008930829953897315+0.03300913734046428j),(-0.008335333754575121+0.011861565755664489j),(0.009800208709940722+0.033392367478243826j),(0.5110381604637372+1.5382189000775197j),(0.003896104897361925+0.02070121102868341j),(0.008386047503487962+0.03366665784922647j),(0.003510658667097554+0.020612060468456823j),(-0.007832858546155279+0.012334279361584696j),(0.0014174790213564933+2.820638932256363e-05j),(0.002768601977324768+4.527402311205078e-05j)
Bus 6,(0.0055412564762823075+0.04011450739927945j),(-0.004174035215171656+0.0065445491270100156j),(-0.5288644045085067+0.561133911539148j),(0.004269559598363733+0.041455751199022735j),(0.0038961048973619235+0.020701211028683414j),(0.26303492629907627+1.9271583287070215j),(-0.00436765012446113+0.006553640316049456j),(-0.1868264148854328+0.303932271225977j),(-0.5060021366140941+0.5898343597207061j),(0.00021194681780966747+0.00024217738134750972j),(0.0032503645092908915+0.0006561501840289197j)
Bus 7,(8.366027304101633e-05+0.0008283359081545058j),(0.005857092915799338+0.07687041945072218j),(-0.011928721769770228+0.011248700432213175j),(5.6523529304175265e-05+0.000854935243934738j),(0.008386047503487966+0.033666657849226476j),(-0.0043676501244611305+0.006553640316049457j),(0.004373278496992115+0.07809683818629488j),(0.003191327266528105+0.040900371400416816j),(-0.011479373745781982+0.011886544971848377j),(0.0031273304701782845+0.0006602895149344116j),(6.628606961130437e-05+1.5926768896971493e-05j)
Bus 8,(-0.0037685868928524404+0.006688769167003353j),(0.003955271932911162+0.04024022461847932j),(-0.5147586613191281+0.5609912904711111j),(-0.004114426788828786+0.0067451672775796015j),(0.0035106586670975545+0.02061206046845682j),(-0.18682641488543278+0.303932271225977j),(0.0031913272665281076+0.040900371400416816j),(0.2914868910109478+1.8978597793742222j),(-0.49180788803236763+0.5890263183097537j),(0.0016474331238453593+0.00031026141147532396j),(0.00041511436611414547+0.0004721078383859362j)
Bus 9,(-0.010570193016275854+0.012414384511654249j),(-0.011076287833695053+0.011940557219692189j),(-1.2993803080064033+1.0312150337569146j),(-0.011314023784068187+0.01239162161806795j),(-0.007832858546155275+0.012334279361584695j),(-0.5060021366140941+0.5898343597207063j),(-0.011479373745781979+0.011886544971848375j),(-0.49180788803236763+0.5890263183097537j),(-1.259576172417964+1.0993843656885252j),(0.00034647710528726706+0.0005795829669023986j),(0.0006737896870788534+0.0011526085045828987j)
PV1 LV,(3.356759253404399e-05+5.5329848766431445e-06j),(0.0030947747677782934+0.000588679130196899j),(0.0003165242564850036+0.0005905066556928197j),(3.432748101465737e-05+6.887099005689748e-06j),(0.0014174790213564937+2.820638932256352e-05j),(0.00021194681780966745+0.00024217738134750966j),(0.003127330470178285+0.0006602895149344116j),(0.0016474331238453598+0.00031026141147532407j),(0.0003464771052872671+0.0005795829669023986j),(0.003215164793119847+0.0007367744963676958j),(1.335121127235465e-06-2.4449557069421394e-06j)
PV2 LV,(0.005979186184313932+0.0010229452821994035j),(6.56343028758517e-05+1.4380746370567938e-05j),(0.0006143581761530427+0.0011736253391864617j),(0.006113207828682032+0.0012652112441965786j),(0.0027686019773247674+4.527402311205078e-05j),(0.0032503645092908915+0.0006561501840289198j),(6.628606961130439e-05+1.592676889697149e-05j),(0.0004151143661141454+0.0004721078383859361j),(0.0006737896870788535+0.001152608504582899j),(1.3351211272354652e-06-2.44495570694214e-06j),(0.0063182833420051595+0.001457658228087437j)
