Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 32,11.027869829187892,36302016.96441535,inf,Strong,7168.1154
BUS 39,57.78277138443446,20507644.03147478,inf,Strong,57782.7715
BUS 31,8.254565994540034,26176150.083813135,inf,Strong,6498.1726
BUS 33,11.83027941166095,2712984.257195722,inf,Strong,7476.7366
BUS 26,30.31953689247829,30.242322465442644,30.31953689247829,Strong,4405.7323
BUS 29,7.56797618301113,7.563357192275517,7.56797618301113,Strong,2327.0014
BUS 34,11.025454899556191,2098564.3623794084,inf,Strong,5600.9311
BUS 35,11.373714290194286,10936696.890633425,inf,Strong,7392.9143
BUS 30,33.82810399406275,122244.74988149271,inf,Strong,8457.0261
BUS 36,10.948560337591857,8126446.125941562,inf,Strong,6131.1938
