Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,13.776041666666668,0.3093987087566456,0.3278989602602281,0.308934148984868,0.3295162535797651
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,20.664062499999996,0.4400359925149873,0.4930818048671664,0.4371769492466024,0.4965364504846807
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999403722477113,16544.142001110304,0.9999403722477086,16544.142000283453
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9620904307807882,21.539114006004976,0.9620904307808045,21.53911400602433
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9812679812326359,47.51397605284037,0.9812679812307773,47.51397604888801
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9923513300206751,119.47098934489331,0.9923513300200054,119.4709893369333
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9561069521990593,20.034096820718933,0.9561069521991625,20.034096820857954
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9649955797694971,26.538147213192662,0.9649955797699774,26.53814721356234
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9680238608072836,25.621199102757988,0.9680238705820645,25.621205454833373
