Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 31,23.876126880256063,10073554.767043702,inf,Strong,6581.3184
BUS 34,11.165931299212598,773178.9968765719,inf,Strong,5672.2931
BUS 36,11.09611642857143,2968659.0433833883,inf,Strong,6213.8252
BUS 30,34.878066,45629.91731579329,inf,Strong,8719.5165
BUS 39,57.9208914,8469899.048692891,inf,Strong,57920.8914
BUS 32,11.177272461538461,12360866.170259368,inf,Strong,7265.2271
BUS 26,13.373767856350517,13.347664463399438,13.373767856350517,Strong,5082.0322
BUS 33,12.0212292721519,996362.4033177743,inf,Strong,7597.4169
BUS 35,11.565794,4002054.808772821,inf,Strong,7517.7661
BUS 29,4.8974210344827585,4.893624573513411,4.8974210344827585,Strong,2840.5042
