name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.012587,-6.345515
Bus 02,345.000000,1.006133,-4.071458
Bus 03,345.000000,0.997042,-4.789678
Bus 04,345.000000,0.990541,-5.392290
Bus 05,345.000000,0.999954,-5.172244
Bus 06,345.000000,1.004271,-4.631499
Bus 07,345.000000,0.991129,-6.842050
Bus 08,345.000000,0.988949,-7.346771
Bus 09,345.000000,1.007245,-7.581269
Bus 10,345.000000,1.016720,-1.191641
Bus 11,345.000000,1.011005,-2.340684
Bus 12,138.000000,0.997907,-2.001128
Bus 13,345.000000,1.011666,-1.555910
Bus 14,345.000000,1.003432,-2.330090
Bus 15,345.000000,1.006491,1.074760
Bus 16,345.000000,1.006711,2.558045
Bus 17,345.000000,0.994572,-0.439759
Bus 18,345.000000,0.993416,-2.562868
Bus 19,345.000000,1.039300,7.836010
Bus 20,230.000000,0.979970,6.825948
Bus 21,345.000000,0.996395,5.148094
Bus 22,345.000000,1.005051,9.995589
Bus 23,345.000000,0.997943,9.787086
Bus 24,345.000000,1.009052,2.691429
Bus 25,345.000000,0.991452,-3.919770
Bus 26,345.000000,0.964960,-0.634636
Bus 27,345.000000,0.972351,-1.876936
Bus 28,345.000000,0.922083,2.212357
Bus 29,345.000000,0.910648,5.314275
Bus 30,16.500000,1.000000,-1.429269
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,6.671803
Bus 33,16.500000,1.000000,13.054787
Bus 34,16.500000,1.000000,12.144195
Bus 35,16.500000,1.000000,15.435104
Bus 36,16.500000,1.000000,18.555028
Bus 39,345.000000,1.000000,-7.678341
PV1 LV,0.480000,0.900013,7.978430
PV2 LV,0.480000,0.962211,0.062569
