Escenario,Bus_LV,S_sc_HV_GSIM,SCR_HV_GSIM,GSIM_hv,Bus_HV,SCR_NRSCR,NRSCR,SCR_SDSCR,SDSCR_coupled,SDSCR_no_coupling,Z_device_LSCR,K_vtg_normal_LSCR,λSCR_normal_LSCR,SCR_scr
Escenario_1,PV1 LV,2333.895,7.77965,8.096368144849693,Bus 7,7.78,7.78,7.77965,7.750445849675803,7.77965,27.552083333333336,0.5404131363654795,0.6655188123317692,6.035176333333333
Escenario_1,PV2 LV,2324.0339,23.240337184348657,23.713361796204214,Bus 4,23.24,23.24,23.24033714077303,22.493838007159887,23.24033714077303,79.21223958333334,0.8370651628040049,1.8772456075164496,18.189829
Escenario_2,PV1 LV,2352.4201,7.966203356099373,8.285434485070116,Bus 7,7.97,7.97,7.966203713539901,7.930177343458306,7.966203713539901,27.552083333333336,0.5404352086516497,0.6657940658689099,6.131232306129359
Escenario_2,PV2 LV,2345.0139,19.52518482173064,20.00248895854032,Bus 4,19.53,19.53,19.52518527896349,19.010641317128236,19.52518527896349,65.43619791666667,0.8008415012590313,1.5614803952188323,15.145317313616758
Escenario_3,PV1 LV,2389.2933,8.091070257887077,8.415305201127547,Bus 7,8.09,8.09,8.091070620930337,8.046392239436129,8.091070620930337,27.552083333333336,0.5404724417979617,0.6658638790354735,6.131232306129359
Escenario_3,PV2 LV,2384.879,15.899193333333333,16.38462559973366,Bus 4,15.9,15.9,15.899193333333333,15.564080104462809,15.899193333333333,51.66015625,0.7448802109660513,1.2446662521371523,12.126552666666669
Escenario_4,PV1 LV,2257.2195,15.04813,15.507577702649904,Bus 7,15.05,15.05,15.04813,14.824101249933516,15.04813,51.66015625,0.7435057822453656,1.2325441290197352,12.070352666666668
Escenario_4,PV2 LV,2271.5143,11.357570612689797,11.66580390813225,Bus 4,11.36,11.36,11.3575706481822,11.260970095188869,11.3575706481822,41.32812499999999,0.6779624073439507,0.993113642512159,9.0949145
Escenario_5,PV1 LV,2343.0486,11.226873141255904,11.54481506499966,Bus 7,11.23,11.23,11.22687333626028,11.105720458951447,11.22687333626028,37.88411458333334,0.6508656321009028,0.9116388820785304,8.675385241974126
Escenario_5,PV2 LV,2352.4199,11.412312133119876,11.731525176780176,Bus 4,11.41,11.41,11.412311856296707,11.285748004546944,11.412311856296707,37.88411458333334,0.6495726618315364,0.913384718604752,8.824445252995682
Escenario_6,PV1 LV,2390.5567,9.562226202360865,9.88662332420337,Bus 7,9.56,9.56,9.562226226266429,9.479950973728554,9.562226226266429,30.996093750000004,0.5815894825380921,0.7477751575308769,7.242211599999999
Escenario_6,PV2 LV,2395.4189,11.977093564289566,12.302140103293146,Bus 4,11.98,11.98,11.97709360171798,11.815321182352776,11.97709360171798,41.32812499999999,0.6809684692866844,1.0008870184835756,9.0949145
