Escenario,Bus_LV,SCR_scr_Inorm,GSIM_hv_Inorm,NRSCR_Inorm,SDSCR_coupled_Inorm,λSCR_normal_LSCR_Inorm,K_vtg_normal_LSCR_Inorm
Escenario_1,PV1 LV,2.0117254444444446,13.493946908082822,2.5933333333333333,2.5834819498919344,0.22183960411058976,0.9006885606091325
Escenario_1,PV2 LV,6.0632763333333335,39.522269660340356,7.746666666666666,7.497946002386629,0.6257485358388165,1.3951086046733416
Escenario_2,PV1 LV,2.0437441020431195,13.80905747511686,2.6566666666666667,2.6433924478194353,0.22193135528963662,0.9007253477527496
Escenario_2,PV2 LV,5.048439104538919,33.3374815975672,6.510000000000001,6.336880439042747,0.5204934650729441,1.334735835431719
Escenario_3,PV1 LV,2.0437441020431195,14.025508668545912,2.6966666666666668,2.6821307464787094,0.22195462634515783,0.9007874029966029
Escenario_3,PV2 LV,4.042184222222223,27.307709332889434,5.3,5.188026701487603,0.4148887507123841,1.2414670182767522
Escenario_4,PV1 LV,4.023450888888889,25.84596283774984,5.016666666666667,4.941367083311172,0.4108480430065784,1.239176303742276
Escenario_4,PV2 LV,3.0316381666666667,19.44300651355375,3.7866666666666666,3.7536566983962896,0.33103788083738633,1.1299373455732513
Escenario_5,PV1 LV,2.891795080658042,19.2413584416661,3.7433333333333336,3.7019068196504823,0.30387962735951013,1.0847760535015047
Escenario_5,PV2 LV,2.9414817509985607,19.552541961300292,3.8033333333333332,3.761916001515648,0.30446157286825065,1.0826211030525608
Escenario_6,PV1 LV,2.414070533333333,16.477705540338953,3.186666666666667,3.159983657909518,0.2492583858436256,0.9693158042301535
Escenario_6,PV2 LV,3.0316381666666667,20.50356683882191,3.9933333333333336,3.938440394117592,0.3336290061611919,1.1349474488111408
