name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.0089439758744,Bus 03,352.9601796576371
Load 04,500.0,184.0,532.7813810560575,Bus 04,346.2506109289101
Load 07,233.8000030517578,84.0,248.43196538892084,Bus 07,343.7671067941651
Load 08,522.0,176.0,550.8720359575352,Bus 08,342.98935663527226
Load 12,7.5,88.0,88.3190239982304,Bus 12,138.78270814174726
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.822883943797,Bus 18,353.4796227386366
Load 20,628.0,103.0,636.390603324719,Bus 20,226.297034700657
Load 21,274.0,115.0,297.1548417912789,Bus 21,348.52184966657813
Load 23,247.5,84.5999984741211,261.55957207072595,Bus 23,346.9373327144651
Load 24,308.6000061035156,-92.19999694824219,322.07887730235547,Bus 24,354.2824845448719
Load 25,224.0,47.20000076293945,228.91885040778425,Bus 25,354.27812974594656
Load 26,139.0,17.0,140.03570973148243,Bus 26,366.8268942084519
Load 27,281.0,75.5,290.9660633132325,Bus 27,359.18121982314875
Load 28,206.0,27.600000381469727,207.8407082865556,Bus 28,373.5913607307406
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,375.38177344222373
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.952295814625,Bus 39,345.0000000617292
