Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.019004016164402955+0.2155680125606847j),(0.00011706567438944479+0.0008346953105602581j),(-0.011042719904060925+0.013080038891268886j),(0.011712456231613967+0.07668340334993466j),(0.011452458481404353+0.03244915350835723j),(0.006463570480273813+0.04107780588818181j),(0.00010172363576522355+0.0008491030627898709j),(-0.0036546620528401827+0.007253601174604316j),(-0.01053458189960764+0.013660264743828301j),(3.457941952274931e-05+5.041892409152033e-06j),(0.007552968808593404+0.0012891614019060285j)
Bus 2,(0.00011706567438944483+0.0008346953105602582j),(0.009772351154870972+0.19881620743086695j),(-0.011612298030118796+0.012152834775508218j),(8.972757492426803e-05+0.000856055713737135j),(0.008940122145961075+0.033017558800370134j),(-0.004145304105572819+0.006924646757322383j),(0.005857222379911431+0.0768785167814308j),(0.003980681058299787+0.04061339022178716j),(-0.011149309775674196+0.012752174679558916j),(0.003095095564693228+0.0005887603708706656j),(8.304055800901565e-05+1.8237235821483585e-05j)
Bus 3,(-0.011042719904060923+0.013080038891268884j),(-0.011612298030118795+0.01215283477550821j),(-1.3580982531533954+1.1346837548132145j),(-0.011736288617249933+0.012955819719734463j),(-0.008188039909912568+0.01274516210254523j),(-0.5311674682229623+0.6009559237098961j),(-0.012027432951172872+0.012090944716461108j),(-0.5165891938693639+0.6001946096343379j),(-1.3167189499259673+1.1149439298275239j),(0.00034869573639696814+0.0006033819835539418j),(0.0008491478626024327+0.001503474894251299j)
Bus 4,(0.011712456231613967+0.07668340334993468j),(8.972757492426805e-05+0.0008560557137371349j),(-0.011736288617249933+0.012955819719734463j),(0.009220626687234605+0.07867991270947114j),(0.010531793783161509+0.03352551898641763j),(0.005132646803837282+0.042154048606901605j),(7.355611544293997e-05+0.0008702133585434051j),(-0.003988439335869776+0.0072727152967589255j),(-0.011238366349774882+0.013566103813901245j),(3.51117892912661e-05+6.378134121379034e-06j),(0.007662554531284654+0.0015848975145434671j)
Bus 5,(0.011452458481404358+0.03244915350835724j),(0.008940122145961075+0.03301755880037013j),(-0.008188039909912567+0.012745162102545234j),(0.010531793783161512+0.03352551898641764j),(0.5113691186627495+1.5382192815663915j),(0.004366297241532467+0.021096079228226077j),(0.008395301705335367+0.03367539013887308j),(0.003647162758579229+0.0209910034095987j),(-0.0076755487712165905+0.013195958217009932j),(0.0014179221692100096+2.7934456429581217e-05j),(0.0034705581354487172+5.6364939286684176e-05j)
Bus 6,(0.006463570480273814+0.04107780588818182j),(-0.004145304105572819+0.006924646757322382j),(-0.5311674682229623+0.6009559237098961j),(0.005132646803837281+0.04215404860690161j),(0.0043662972415324675+0.02109607922822608j),(0.2651201072073311+1.945243145649589j),(-0.004346259278542444+0.006939797466874141j),(-0.18492377059925946+0.3216813426853624j),(-0.5079820876543696+0.6286750214927412j),(0.00022740770981134672+0.00024545144552290453j),(0.004111332566755703+0.0008310853605973671j)
Bus 7,(0.00010172363576522356+0.0008491030627898706j),(0.005857222379911429+0.07687851678143079j),(-0.012027432951172876+0.012090944716461114j),(7.355611544293994e-05+0.0008702133585434049j),(0.008395301705335364+0.03367539013887307j),(-0.004346259278542445+0.00693979746687414j),(0.004373244639840967+0.0781050547596336j),(0.0032094897050148454+0.04127942893457021j),(-0.011570004199906907+0.01270836007552081j),(0.003127654229259049+0.000660378469730945j),(8.38643024335872e-05+2.019387940069687e-05j)
Bus 8,(-0.003654662052840184+0.007253601174604317j),(0.0039806810582997875+0.04061339022178716j),(-0.516589193869364+0.6001946096343381j),(-0.003988439335869779+0.007272715296758926j),(0.0036471627585792287+0.0209910034095987j),(-0.18492377059925957+0.3216813426853624j),(0.003209489705014848+0.04127942893457021j),(0.29354583252528876+1.9153012055537457j),(-0.4933393144613234+0.6272591411703777j),(0.0016625795296128652+0.0003135871186966105j),(0.0005575934979640612+0.0006002739729261169j)
Bus 9,(-0.010534581899607643+0.013660264743828306j),(-0.011149309775674195+0.012752174679558914j),(-1.3167189499259675+1.114943929827524j),(-0.011238366349774884+0.01356610381390125j),(-0.007675548771216593+0.013195958217009937j),(-0.5079820876543697+0.6286750214927413j),(-0.011570004199906905+0.012708360075520812j),(-0.49333931446132323+0.6272591411703778j),(-1.2759396689208977+1.1811272233979433j),(0.00037792888354290147+0.000591921682333099j),(0.000921856372372876+0.001475796917976453j)
PV1 LV,(3.457941952274931e-05+5.041892409152032e-06j),(0.0030950955646932275+0.0005887603708706654j),(0.00034869573639696814+0.0006033819835539417j),(3.51117892912661e-05+6.3781341213790315e-06j),(0.0014179221692100098+2.7934456429581326e-05j),(0.00022740770981134666+0.0002454514455229045j),(0.0031276542292590485+0.0006603784697309449j),(0.0016625795296128644+0.0003135871186966105j),(0.0003779288835429014+0.0005919216823330989j),(0.0032151717546059235+0.0007367626735945477j),(1.6908956674896848e-06-3.092863033548165e-06j)
PV2 LV,(0.0075529688085934025+0.0012891614019060282j),(8.304055800901563e-05+1.8237235821483585e-05j),(0.0008491478626024328+0.001503474894251299j),(0.007662554531284653+0.001584897514543467j),(0.0034705581354487177+5.636493928668439e-05j),(0.004111332566755703+0.0008310853605973671j),(8.386430243358719e-05+2.0193879400696866e-05j),(0.0005575934979640613+0.0006002739729261169j),(0.000921856372372876+0.0014757969179764528j),(1.6908956674896844e-06-3.0928630335481647e-06j),(0.007886368702373702+0.0018213825630668322j)
