Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.0160704636542826+0.21568976134227524j),(9.786247228308483e-05+0.000833369350951477j),(-0.011432080961452231+0.012553226437136826j),(0.008691014851478395+0.07639251147374201j),(0.01011775012064951+0.032572457344037714j),(0.004844903050542108+0.040936876158563444j),(8.226484072003338e-05+0.0008473141784553189j),(-0.0038867030090333973+0.007053142501949131j),(-0.010950591348801457+0.013146738592012215j),(4.817513709744089e-05+8.942142588918932e-06j),(0.004416696082154807+0.0007478075624302242j)
Bus 2,(9.78624722830848e-05+0.000833369350951477j),(0.01100679014002769+0.19902515248612143j),(-0.011471647352474546+0.012396398973753624j),(7.003527259026171e-05+0.0008528179837443187j),(0.009487401448535951+0.03301231085414111j),(-0.004069645424718805+0.007023116110771381j),(0.00710448688294346+0.07710321412874771j),(0.004641658112365422+0.04072207981062543j),(-0.01099740423205708+0.012990613281696428j),(0.004377729415731091+0.0008348042984486218j),(4.88703170288779e-05+9.858975181248705e-06j)
Bus 3,(-0.011432080961452235+0.012553226437136822j),(-0.011471647352474548+0.012396398973753622j),(-1.3583492464236078+1.1361385591058561j),(-0.012098429430875727+0.01238620539546004j),(-0.008310754457928818+0.01262539370560168j),(-0.5313852363689147+0.6013808943392805j),(-0.011889008635455223+0.01234011073804933j),(-0.5165157139616214+0.6009492524741965j),(-1.3169567626982455+1.1163600369466524j),(0.0004932200539657909+0.0008540826275881615j),(0.0004978702990120664+0.0008773711035534699j)
Bus 4,(0.008691014851478392+0.07639251147374201j),(7.003527259026178e-05+0.0008528179837443187j),(-0.012098429430875725+0.012386205395460044j),(0.006134819699340768+0.07816533996889619j),(0.009150636701692803+0.03355688796174662j),(0.0034786936237345568+0.0418935776783633j),(5.364191644264052e-05+0.0008664739811470944j),(-0.00421251722904288+0.007049702169886385j),(-0.01162887117872393+0.013008244967495954j),(4.8779093226581235e-05+1.083037647463157e-05j),(0.004474633154792487+0.0009195417203324956j)
Bus 5,(0.010117750120649513+0.032572457344037714j),(0.009487401448535951+0.033012310854141115j),(-0.00831075445792882+0.012625393705601687j),(0.009150636701692805+0.03355688796174662j),(0.511015768537765+1.538302229987167j),(0.0036726463524123718+0.0211568677756068j),(0.008949975925379855+0.0336791678505625j),(0.003830145601109525+0.02091070125850608j),(-0.007804982004755014+0.013080482679340723j),(0.002005319663800183+4.1265574914501604e-05j),(0.0020262860035711833+2.9963605411716565e-05j)
Bus 6,(0.004844903050542107+0.04093687615856345j),(-0.004069645424718802+0.007023116110771381j),(-0.5313852363689147+0.6013808943392807j),(0.003478693623734556+0.0418935776783633j),(0.0036726463524123744+0.0211568677756068j),(0.2642734634535194+1.9454365518216277j),(-0.004271265534655445+0.007040789271345301j),(-0.18495535757270173+0.32192338399714554j),(-0.508208825081637+0.6290892077069684j),(0.00032141444038096326+0.00034835915598115325j),(0.002401309816385982+0.00048216533627180056j)
Bus 7,(8.226484072003338e-05+0.0008473141784553186j),(0.00710448688294346+0.07710321412874772j),(-0.011889008635455221+0.012340110738049335j),(5.364191644264048e-05+0.0008664739811470941j),(0.008949975925379855+0.033679167850562484j),(-0.004271265534655446+0.007040789271345302j),(0.005633441895401207+0.07835361299373067j),(0.0038774774574147023+0.04140062245540252j),(-0.011420088026180806+0.012952519153288785j),(0.004423465103540784+0.0009360789851585431j),(4.936987210558196e-05+1.0997282705298966e-05j)
Bus 8,(-0.0038867030090333973+0.007053142501949132j),(0.004641658112365423+0.04072207981062543j),(-0.5165157139616213+0.6009492524741966j),(-0.004212517229042881+0.007049702169886384j),(0.0038301456011095272+0.02091070125850608j),(-0.18495535757270182+0.32192338399714554j),(0.0038774774574147014+0.04140062245540252j),(0.29394279088794706+1.9156318929696787j),(-0.4932581326371985+0.6279929042303265j),(0.002351623440687141+0.0004447797505662968j),(0.00032656194178581964+0.00034971207396704084j)
Bus 9,(-0.010950591348801457+0.013146738592012215j),(-0.010997404232057077+0.012990613281696432j),(-1.3169567626982452+1.1163600369466524j),(-0.011628871178723929+0.01300824496749595j),(-0.007804982004755007+0.013080482679340723j),(-0.508208825081637+0.6290892077069685j),(-0.0114200880261808+0.012952519153288785j),(-0.4932581326371983+0.6279929042303265j),(-1.2761650668197877+1.1825056041452553j),(0.0005345594114620955+0.0008378981992418973j),(0.000540277470635684+0.0008611369359078727j)
PV1 LV,(4.817513709744089e-05+8.942142588918937e-06j),(0.004377729415731091+0.0008348042984486217j),(0.000493220053965791+0.0008540826275881615j),(4.8779093226581235e-05+1.0830376474631576e-05j),(0.002005319663800183+4.126557491450166e-05j),(0.00032141444038096337+0.00034835915598115336j),(0.004423465103540784+0.0009360789851585431j),(0.0023516234406871415+0.00044477975056629674j),(0.0005345594114620957+0.0008378981992418975j),(0.004547034934017884+0.0010441251287364502j),(1.394405604721592e-06-2.5555462037753917e-06j)
PV2 LV,(0.004416696082154806+0.0007478075624302242j),(4.8870317028877886e-05+9.858975181248705e-06j),(0.0004978702990120663+0.0008773711035534699j),(0.004474633154792487+0.0009195417203324958j),(0.0020262860035711833+2.9963605411716457e-05j),(0.002401309816385982+0.00048216533627180066j),(4.9369872105581945e-05+1.0997282705298964e-05j),(0.0003265619417858197+0.00034971207396704084j),(0.000540277470635684+0.0008611369359078728j),(1.3944056047215913e-06-2.5555462037753904e-06j),(0.004601982404729945+0.0010569759573424281j)
