name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 1,16.5,16.5,0.0,0.0,0.0,247.4999286326654,132.98353420465713,247.4999286326654,132.98353420465713
Bus 2,18.0,18.0,0.0,0.0,0.0,163.19991857374606,114.74403374221319,163.19991857374606,114.74403374221319
Bus 3,13.800000190734863,13.800000190734863,0.0,0.0,0.0,-506.28543144105856,76.80001109064558,-506.28543144105856,76.80001109064558
Bus 4,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 5,230.0,230.0,0.0,125.0,50.0,0.0,0.0,-125.0,-50.0
Bus 6,230.0,230.0,0.0,90.0,30.0,0.0,0.0,-90.0,-30.0
Bus 7,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 8,230.0,230.0,0.0,100.0,35.0,0.0,0.0,-100.0,-35.0
Bus 9,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,208700.015625,47583.6015625,208700.015625,47583.6015625
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,206130.0,46997.671875,206130.0,46997.671875
