name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,313.8436826511024,0.43184011624508356
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,331.078593656151,0.4581947932187321
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,346.07480314799477,16.50000000353726
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,346.0080997594778,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,350.2889569974318,16.500000000638977
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,348.2931039473451,137.49620730981644
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,348.4894510601308,137.49620730981644
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,358.33197212683456,225.31081357553913
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,358.33197212683456,16.50000000013836
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,225.31081357553913,16.500000000182915
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,346.5097432246935,16.500000000022116
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,344.049024482052,16.500000000198714
