name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.00894397587433,Bus 03,342.9538635708281
Load 04,500.0,184.0,532.7813810560575,Bus 04,341.0183567723538
Load 07,233.8000030517578,84.0,248.43196538892087,Bus 07,341.5090830799915
Load 08,522.0,176.0,550.8720359575352,Bus 08,340.77051209994033
Load 12,7.5,88.0,88.31902399823042,Bus 12,137.49620730981644
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.82288394379702,Bus 18,341.7273183760952
Load 20,628.0,103.0,636.3906033247192,Bus 20,225.31081357553913
Load 21,274.0,115.0,297.15484179127895,Bus 21,343.3219355609306
Load 23,247.5,84.5999984741211,261.55957207072595,Bus 23,344.049024482052
Load 24,308.6000061035156,-92.19999694824219,322.07887730235547,Bus 24,347.5617897910196
Load 25,224.0,47.20000076293945,228.9188504077842,Bus 25,341.6783726742799
Load 26,139.0,17.0,140.0357097314824,Bus 26,331.078593656151
Load 27,281.0,75.5,290.96606331323244,Bus 27,333.97099422671664
Load 28,206.0,27.600000381469727,207.84070828655567,Bus 28,317.4985631935137
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,313.8436826511024
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.9522958146251,Bus 39,345.00000006975887
