name,from_bus,to_bus,r_per_km,x_per_km,b_per_km,length_km,r_total,x_total,b_total,current
Line 01 - 02,Bus 01,Bus 02,0.0255474504083395,0.30000001192092896,3.5999257564544678,163.0642547607422,4.165875961872899,48.91927837210005,587.0192106702489,0.19381706450222144
Line 01 - 39,Bus 01,Bus 39,0.012000000104308128,0.30000001192092896,6.352828025817871,99.1875,1.1902500103460625,29.75625118240714,630.1211298108101,0.1938170644798875
Line 02 - 03,Bus 02,Bus 03,0.025827810168266296,0.30000001192092896,3.606938123703003,59.90924835205078,1.547324693760288,17.972775219789128,216.08895184340327,0.21367706665514488
Line 02 - 25,Bus 02,Bus 25,0.24418604373931885,0.30000001192092896,3.594987392425537,34.12049865722656,8.331749577520895,10.23615000391601,122.66276249600196,0.22351865889378633
Line 03 - 04,Bus 03,Bus 04,0.018309859558939934,0.30000001192092896,2.2011003494262695,84.50775146484375,1.5473250609630895,25.352326446864026,186.01004127849592,0.18877586328405419
Line 03 - 18,Bus 03,Bus 18,0.02481202967464924,0.30000001192092896,3.404078960418701,52.76774978637695,1.309274973564051,15.830325564953682,179.6255868364442,0.5307612752611146
Line 04 - 05,Bus 04,Bus 05,0.01875000074505806,0.30000001192092896,2.2201762199401855,50.784000396728516,0.9522000452756885,15.235200724411015,112.7494300342496,0.15549841960840097
Line 04 - 14,Bus 04,Bus 14,0.018604649230837822,0.30000001192092896,2.2686192989349365,51.18075180053711,0.9521999346195642,15.354226150283239,116.10964126869749,0.7200368825068163
Line 05 - 06,Bus 05,Bus 06,0.023076919838786125,0.30000001192092896,3.5347816944122314,10.315500259399414,0.23804997258313776,3.09465020079017,36.463041485629674,0.5664905348531535
Line 05 - 08,Bus 05,Bus 08,0.02142857015132904,0.30000001192092896,2.7907142639160156,44.43600082397461,0.952199960901055,13.330800776910792,124.00818133084977,0.576185052686442
Line 06 - 07,Bus 06,Bus 07,0.019565220922231674,0.30000001192092896,2.6009747982025146,36.500999450683594,0.7141501181348815,10.9503002703309,94.93817968043186,0.7096376868053814
Line 06 - 11,Bus 06,Bus 11,0.025609759613871574,0.30000001192092896,3.5870327949523926,32.53350067138672,0.8331751315919433,9.760050589245566,116.69873384286984,0.9014322959699014
Line 07 - 08,Bus 07,Bus 08,0.0260869599878788,0.30000001192092896,3.5907273292541504,18.250499725341797,0.4761000560937845,5.47515013516545,65.53256813633016,0.29775598051185487
Line 08 - 09,Bus 08,Bus 09,0.01900826022028923,0.30000001192092896,2.219120502471924,144.02024841308594,2.7375743588266346,43.20607624078093,319.59828602457856,0.11996102845404073
