name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 1,16.5,16.5,0.0,0.0,0.0,247.4999816292042,153.0193461074813,247.4999816292042,153.0193461074813
Bus 2,18.0,18.0,0.0,0.0,0.0,163.20000207358495,115.20002148661183,163.20000207358495,115.20002148661183
Bus 3,13.800000190734863,13.800000190734863,0.0,0.0,0.0,-343.37632123537355,76.80000143123637,-343.37632123537355,76.80000143123637
Bus 4,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 5,230.0,230.0,0.0,125.0,50.0,0.0,0.0,-125.0,-50.0
Bus 6,230.0,230.0,0.0,90.0,30.0,0.0,0.0,-90.0,-30.0
Bus 7,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 8,230.0,230.0,0.0,100.0,35.0,0.0,0.0,-100.0,-35.0
Bus 9,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,100000.0078125,-22799.974609375,100000.0078125,-22799.974609375
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,150000.0,-34200.0078125,150000.0,-34200.0078125
