Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,27.552083333333336,0.5424890575914584,0.6557979205242995,0.5299998242857465,0.6500819630591124
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,41.32812499999999,0.6977573251366855,0.9861674258974366,0.6724138953038841,0.9713583060338726
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999399551906399,16487.156166700588,0.9999399551906312,16487.156164224594
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9608303736224313,21.171005724719276,0.9608303736224356,21.171005724742482
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9808454272749975,47.099676057517435,0.9808454272715038,47.09967604883709
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9922486044131914,119.30671317874034,0.9922486044118001,119.30671315904047
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9541465392758962,19.572709190841707,0.9541465392757051,19.57270919093199
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9644864463313502,26.343717275306414,0.9644864463321737,26.343717275999023
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9569629301326907,21.89397614692689,0.9569629561267325,21.893989129600417
