Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.017728813817958967+0.2101484781264733j),(0.00014797315959345095+0.0008081358800551977j),(-0.009722250053722205+0.016888589501924053j),(0.010744561297892977+0.07277120724475376j),(0.010725930440531654+0.03082834870153182j),(0.006598574762436355+0.040941603776522284j),(0.00013361800113847067+0.0008227916891836992j),(-0.0027987707723545973+0.008790885751001573j),(-0.009234162656776563+0.01732135877778733j),(6.558259320429577e-05-2.0622448578427353e-05j),(0.006743787126051757-0.0019222732889553028j)
Bus 2,(0.00014797315959345103+0.0008081358800551982j),(0.012477897417230396+0.19667688588176693j),(-0.010129369764506048+0.016888021983132967j),(0.00012339005022271224+0.0008364513948945375j),(0.009981284254305504+0.03186603951476411j),(-0.00314495070265598+0.008902017747365773j),(0.008645370668050469+0.07476358214577587j),(0.006083087177059121+0.0414164353402655j),(-0.009644049317114508+0.01733413549775644j),(0.006000492785852923-0.0015885188453575955j),(7.751624305126066e-05-2.20846464129424e-05j)
Bus 3,(-0.009722250053722207+0.016888589501924057j),(-0.010129369764506044+0.01688802198313297j),(-1.3553250438778888+1.6382382496713108j),(-0.010601365803443312+0.017023616838063214j),(-0.006361901039851124+0.01637330304136971j),(-0.49546516023666964+0.8259634983610809j),(-0.010619748337570846+0.016924570356494164j),(-0.4781270857213299+0.8222186768679465j),(-1.310762177664998+1.6058342747527246j),(0.001506871355658951+0.0006669849720122419j),(0.0017410203388462911+0.0007898152610401227j)
Bus 4,(0.010744561297892979+0.07277120724475379j),(0.00012339005022271224+0.0008364513948945373j),(-0.010601365803443306+0.017023616838063207j),(0.008457329765133671+0.07522901180032227j),(0.009933020746907462+0.03208960681266236j),(0.0053275464328863785+0.04234411296399053j),(0.00010810325849007078+0.0008510134520055622j),(-0.003191879008674381+0.00894178426095788j),(-0.010114785965276095+0.017486120856649395j),(6.818748484037828e-05-1.8873061014413967e-05j),(0.007004577473666338-0.0017367313843293225j)
Bus 5,(0.010725930440531654+0.030828348701531824j),(0.0099812842543055+0.031866039514764105j),(-0.006361901039851121+0.016373303041369705j),(0.009933020746907462+0.03208960681266237j),(0.5113645117519128+1.5370665983270257j),(0.005052113732679646+0.021955439738131712j),(0.009474947541466312+0.03252852868256454j),(0.0051099361606139395+0.021841060187830524j),(-0.005868023428388089+0.016692419364475176j),(0.0025432585223814043-0.0011575036946933695j),(0.0029090439995840957-0.0013386444114554979j)
Bus 6,(0.006598574762436357+0.040941603776522284j),(-0.0031449507026559795+0.008902017747365773j),(-0.49546516023666953+0.8259634983610809j),(0.005327546432886379+0.04234411296399052j),(0.005052113732679644+0.021955439738131716j),(0.2961105529137857+2.0427512780782844j),(-0.003371839154820487+0.00896604980859366j),(-0.15252875469632693+0.418315904293859j),(-0.4717293639018679+0.8477839457216639j),(0.0007716703515561725+0.00016935161870991423j),(0.0039355952162629035-0.0010311571724448151j)
Bus 7,(0.00013361800113847067+0.0008227916891836994j),(0.008645370668050467+0.07476358214577589j),(-0.010619748337570848+0.01692457035649416j),(0.00010810325849007073+0.0008510134520055622j),(0.009474947541466314+0.03252852868256455j),(-0.0033718391548204878+0.00896604980859366j),(0.007244686929896566+0.07601654329030327j),(0.005325788351467356+0.042136926987577324j),(-0.010136539991435189+0.017387008442854998j),(0.006119305666414501-0.0014889834638993453j),(7.908300373802285e-05-2.082133396304305e-05j)
Bus 8,(-0.0027987707723545973+0.008790885751001575j),(0.006083087177059122+0.0414164353402655j),(-0.47812708572132995+0.8222186768679465j),(-0.003191879008674381+0.008941784260957882j),(0.005109936160613938+0.021841060187830524j),(-0.15252875469632687+0.4183159042938589j),(0.005325788351467355+0.042136926987577324j),(0.3273707482107048+2.0098272724498116j),(-0.45439702522097414+0.8434453876038004j),(0.0033765395250846602-0.0009322884139178607j),(0.0008848699852861347+0.00019024473892788774j)
Bus 9,(-0.009234162656776563+0.01732135877778733j),(-0.009644049317114508+0.017334135497756437j),(-1.3107621776649976+1.6058342747527243j),(-0.010114785965276096+0.017486120856649398j),(-0.005868023428388091+0.016692419364475172j),(-0.47172936390186776+0.8477839457216638j),(-0.01013653999143519+0.017387008442854998j),(-0.45439702522097425+0.8434453876038003j),(-1.2669608970329904+1.6596502096163968j),(0.0015389119578314077+0.0006220824027199886j),(0.0017786687974711316+0.0007380649336715076j)
PV1 LV,(6.55825932042958e-05-2.0622448578427347e-05j),(0.006000492785852923-0.0015885188453575953j),(0.001506871355658951+0.000666984972012242j),(6.818748484037828e-05-1.8873061014413957e-05j),(0.0025432585223814043-0.0011575036946933693j),(0.0007716703515561725+0.0001693516187099144j),(0.006119305666414501-0.0014889834638993449j),(0.00337653952508466-0.0009322884139178604j),(0.001538911957831408+0.0006220824027199888j),(0.006336206143652848-0.0014265799609829873j),(-2.6333879943112528e-06-6.209286848324874e-06j)
PV2 LV,(0.006743787126051757-0.0019222732889553032j),(7.751624305126066e-05-2.2084646412942397e-05j),(0.0017410203388462918+0.000789815261040123j),(0.007004577473666338-0.0017367313843293227j),(0.0029090439995840952-0.0013386444114554977j),(0.003935595216262904-0.0010311571724448151j),(7.908300373802285e-05-2.082133396304305e-05j),(0.000884869985286135+0.00019024473892788774j),(0.0017786687974711323+0.0007380649336715078j),(-2.633387994311253e-06-6.209286848324876e-06j),(0.007309450493173231-0.0016372399990293727j)
