name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,324.55495184125067,0.4476438632266815
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,336.8497300517644,0.46627017934286974
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,348.0251636920219,16.500000000085578
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,346.79108360207465,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,351.06318907483814,16.500000000012164
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,349.09488878601786,137.8435032765149
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,349.37338941369995,137.8435032765149
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,358.84863423954323,225.49871114151924
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,358.84863423954323,16.500000000006878
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,225.49871114151924,16.500000000007475
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,347.04132365970173,16.50000000000298
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,344.5994707120263,16.50000000003859
