name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 01,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 02,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 03,345.0,345.0,0.0,322.0,2.4000000953674316,0.0,0.0,-322.0,-2.4000000953674316
Bus 04,345.0,345.0,0.0,500.0,184.0,0.0,0.0,-500.0,-184.0
Bus 05,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 06,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 07,345.0,345.0,0.0,233.8000030517578,84.0,0.0,0.0,-233.8000030517578,-84.0
Bus 08,345.0,345.0,0.0,522.0,176.0,0.0,0.0,-522.0,-176.0
Bus 09,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 10,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 11,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 12,138.0,138.0,0.0,7.5,88.0,0.0,0.0,-7.5,-88.0
Bus 13,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 14,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 15,345.0,345.0,0.0,320.0,153.0,0.0,0.0,-320.0,-153.0
Bus 16,345.0,345.0,0.0,329.0,32.29999923706055,0.0,0.0,-329.0,-32.29999923706055
Bus 17,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 18,345.0,345.0,0.0,158.0,30.0,0.0,0.0,-158.0,-30.0
Bus 19,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 20,230.0,230.0,0.0,628.0,103.0,0.0,0.0,-628.0,-103.0
Bus 21,345.0,345.0,0.0,274.0,115.0,0.0,0.0,-274.0,-115.0
Bus 22,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 23,345.0,345.0,0.0,247.5,84.5999984741211,0.0,0.0,-247.5,-84.5999984741211
Bus 24,345.0,345.0,0.0,308.6000061035156,-92.19999694824219,0.0,0.0,-308.6000061035156,92.19999694824219
Bus 25,345.0,345.0,0.0,224.0,47.20000076293945,0.0,0.0,-224.0,-47.20000076293945
Bus 26,345.0,345.0,0.0,139.0,17.0,0.0,0.0,-139.0,-17.0
Bus 27,345.0,345.0,0.0,281.0,75.5,0.0,0.0,-281.0,-75.5
Bus 28,345.0,345.0,0.0,206.0,27.600000381469727,0.0,0.0,-206.0,-27.600000381469727
Bus 29,345.0,345.0,0.0,283.5,26.899999618530273,0.0,0.0,-283.5,-26.899999618530273
Bus 30,16.5,16.5,0.0,0.0,0.0,250.0000000559764,93.23936866612965,250.0000000559764,93.23936866612965
Bus 31,16.5,16.5,0.0,9.199999809265137,4.599999904632568,275.6443053524222,256.33271525633944,266.44430554315704,251.73271535170687
Bus 32,16.5,16.5,0.0,0.0,0.0,650.0000000089601,289.61538798490585,650.0000000089601,289.61538798490585
Bus 33,16.5,16.5,0.0,0.0,0.0,632.0000000081386,193.7206694897238,632.0000000081386,193.7206694897238
Bus 34,16.5,16.5,0.0,0.0,0.0,508.0000000051674,155.13916924248895,508.0000000051674,155.13916924248895
Bus 35,16.5,16.5,0.0,0.0,0.0,649.9999999975153,161.04473536237586,649.9999999975153,161.04473536237586
Bus 36,16.5,16.5,0.0,0.0,0.0,559.9999999952121,36.8200825699964,559.9999999952121,36.8200825699964
Bus 39,345.0,345.0,0.0,1104.0,250.0,1000.0000000264057,73.3193981575946,-103.9999999735943,-176.6806018424054
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,580000.0,-132241.25,580000.0,-132241.25
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,380000.03125,-86640.0625,380000.03125,-86640.0625
