Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,10.332031249999998,0.2374984160861769,0.24592422019504429,0.23749810728379137,0.2469163120303678
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,37.88411458333334,0.6664067288585559,0.9039830405621834,0.6529934222157056,0.9147482729591103
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.999940418639844,16550.518827368953,0.9999404186398395,16550.518826003175
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9623051458180948,21.605837944293285,0.9623051458181217,21.605837944326915
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9813243265081745,47.5710872748774,0.9813243265048479,47.57108726777294
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9923655160367681,119.50161644309985,0.9923655160355664,119.50161642879391
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9563705536830617,20.098436207270748,0.9563705536832309,20.09843620751737
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9650670311022564,26.565820140087478,0.9650670311031156,26.56582014075125
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9693125787388008,26.179892841133125,0.9693125953809666,26.179904387140223
