Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 31,21.052779761079137,18043220.327709537,inf,Strong,6575.7678
BUS 34,11.156553543307087,1373957.318634106,inf,Strong,5667.5292
BUS 36,11.086266071428572,5268665.500033737,inf,Strong,6208.309
BUS 30,34.80797292153622,80925.78264340194,inf,Strong,8701.9933
BUS 39,57.91167084208833,15338786.85280507,inf,Strong,57911.6709
BUS 32,11.167298769230769,22092226.616577286,inf,Strong,7258.7442
BUS 26,23.776831640285216,23.672244488612183,23.776831640285216,Strong,5036.8843
BUS 33,12.008481962025316,1768570.2902865908,inf,Strong,7589.3606
BUS 35,11.55297123076923,7099074.462852922,inf,Strong,7509.4313
BUS 29,4.07672322587227,4.075335095036162,4.07672322587227,Strong,2912.0036
