Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,1844;6085,7840
Bus 02;13,9662;8345,6190
Bus 03;12,8798;7696,3923
Bus 04;12,9432;7734,3326
Bus 05;13,7208;8198,9948
Bus 06;14,3109;8551,6126
Bus 07;11,0973;6631,2533
Bus 08;11,4839;6862,2794
Bus 09;10,0605;6011,7348
Bus 10;13,4062;8010,9723
Bus 11;12,9326;7727,9725
Bus 12;13,7428;3284,8513
Bus 13;12,3900;7403,7260
Bus 14;12,6412;7553,8634
Bus 15;11,8249;7066,0873
Bus 16;16,3042;9742,7137
Bus 17;13,1110;7834,5680
Bus 18;11,3994;6811,7959
Bus 19;13,4141;8015,6856
Bus 20;14,5443;5794,0497
Bus 21;11,2928;6748,1259
Bus 22;12,8238;7662,9775
Bus 23;11,6638;6969,7964
Bus 24;12,2234;7304,1809
Bus 25;9,6043;5739,1458
Bus 26;7,5898;4535,3495
Bus 27;8,2955;4957,0529
Bus 28;3,9824;2379,7005
Bus 29;3,9315;2349,3150
Bus 30;297,6795;8507,3341
Bus 31;227,9347;6514,1080
Bus 32;251,4702;7186,7275
Bus 33;262,4272;7499,8658
Bus 34;196,4603;5614,6081
Bus 35;259,5222;7416,8429
Bus 36;215,0903;6147,0306
Bus 39;96,7426;57809,2431
PV1 LV;2546,3865;2117,0259
PV2 LV;4539,6581;3774,2008
